모델,종목명,티커,보유 수량,현재가,평가 금액
GB_1D,LG에너지솔루션,373220.KS,25,380000.0,9500000.0
GB_1D,현대차,005380.KS,7,293500.0,2054500.0
GB_1D,기아,000270.KS,16,121100.0,1937600.0
GB_1D,삼성전자,005930.KS,19,119500.0,2270500.0
GB_1D,현금,,,,1013359.44
GB_1D,총 자산,,,,16775959.44
