Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,종목명,Ticker,변화율(%),5일이평,20일이평,60일이평,RSI,Log_Return,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_High,Donchian_Low,Momentum_10,Cumulative_Return,한국은행 기준금리,콜금리(익일물),예금은행 수신금리,예금은행 대출금리,가계신용,"M2(광의통화, 평잔)",실업률,소비자물가지수,농산물 및 석유류제외 소비자물가지수,UpdatedAt,Target_1D,Target_20D,Return_1D,Return_20D,Return,Predicted_Return_GB_1D,Predicted_Return_GB_20D,Predicted_Return_Dense_LSTM,예측종가_GB_1D,예측종가_GB_20D,예측종가_Dense_LSTM
2025-05-02,54664.7013121547,55161.6531422652,53869.5783839779,53968.96875,22454204,0.0,0.0,삼성전자,005930.KS,-2.1621607458702896,55082.140625,54873.4197265625,55817.34270833333,41.64767956905823,-0.021858779336587773,55107.80947544362,55468.61780720609,-360.8083317624696,-325.2250596585156,-35.583272103954016,54873.4197265625,56895.35434975929,52851.4851033657,7.369450029803916,56254.9453125,52676.89453125,-795.12109375,65.21343370144275,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,54267.13671875,57447.62890625,0.005524803894830768,0.06445667272917828,-0.021621607458702896,0.009719980282200532,0.012007249607280982,-0.0625268,54493.5460621007,54616.98762882879,50594.46064257994
2025-05-02,178818.29128024195,185596.2421202957,177821.53380376345,185396.890625,3886874,0.0,0.0,SK하이닉스,000660.KS,4.788741026801335,181549.396875,176959.3296875,192959.55859375,51.858344751509314,0.04677614717714871,180121.26471955542,182969.84527993004,-2848.5805603746267,-4344.0735344941495,1495.4929741195228,176959.3296875,188771.06948831788,165147.5898866821,13.349666074884823,185396.890625,164265.625,10964.34375,228.53203612096658,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,190181.3125,217186.296875,0.025806376033983176,0.17146677132951513,0.04788741026801335,0.017151930607237777,0.03403105245862091,-0.0577423,188576.80522779765,191706.1419355246,174691.64818326104
2025-05-02,325000.0,327500.0,320500.0,320500.0,202479,0.0,0.0,LG에너지솔루션,373220.KS,-1.2326656394452962,336900.0,336000.0,342541.6666666667,41.64572408963912,-0.012403259783419912,336272.79690639,337450.29888843436,-1177.5019820443704,-140.57264696524186,-1036.9293350791286,336000.0,358412.40258146223,313587.59741853777,13.340715822298947,350000.0,314000.0,-22000.0,-36.53465346534654,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,322500.0,288500.0,0.0062402496099844,-0.0998439937597504,-0.012326656394452962,0.07722576964359555,0.12213643182800217,-0.055428676,345250.85917077237,359644.72640087473,302735.1068556309
2025-05-02,1043000.0,1086000.0,1042000.0,1085000.0,73970,0.0,0.0,삼성바이오로직스,207940.KS,3.136882129277563,1052400.0,1043050.0,1088616.6666666667,56.689387407314506,0.03088687267690472,1054325.7383862182,1055357.7373237242,-1031.9989375059959,-5575.104944965404,4543.106007459408,1043050.0,1092995.1277851413,993104.8722148587,9.576746615242097,1085000.0,992000.0,26000.0,193.1864383708089,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,1041000.0,1034000.0,-0.04055299539170507,-0.047004608294930875,0.03136882129277563,-0.04785410226691579,-0.017410313586506646,0.06400106,1033078.2990403963,1066109.8097586404,1154441.1754608154
2025-05-02,185509.86658526928,185802.46889849525,183559.1844970961,184729.59375,464020,0.0,0.0,현대차,005380.KS,-0.6295891608391613,185431.846875,181018.4296875,190172.50390625,48.777986225464204,-0.006315794314794756,184180.7412938738,185534.66338848643,-1353.9220946126152,-2517.3488730837475,1163.4267784711324,181018.4296875,190697.9474779617,171338.9118970383,10.694510837567048,188045.765625,173123.03125,7510.109375,106.72706547505703,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,182974.0,183886.359375,-0.009503586915131187,-0.004564695660735193,-0.006295891608391613,0.002084765668305322,-0.017170122436715084,-0.055428676,185114.71166497,181557.76400762785,174490.2755173277
2025-05-02,38150.0,38650.0,37950.0,38050.0,1350989,0.0,0.0,카카오,035720.KS,-0.5228758169934622,38150.0,39005.0,41113.25533854167,41.207130953231136,-0.005242475964849983,38675.892646032735,39469.49447883343,-793.6018328006976,-793.6204460229427,0.018613222245107863,39005.0,40965.63899362304,37044.36100637696,10.053270060879584,41850.0,37750.0,-150.0,87.53231971518991,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,38350.0,41600.0,0.00788436268068331,0.09329829172141918,-0.005228758169934622,0.008069678834359746,-0.008999777747758186,-0.07168336,38357.051279647385,37707.5584566978,35322.44863808155
2025-05-02,91000.0,91000.0,88600.0,89400.0,768903,0.0,0.0,기아,000270.KS,-1.106194690265483,89460.0,86965.0,90035.35143229166,50.88323086359461,-0.011123585218662316,88721.0801943977,89007.82429218388,-286.7440977861843,-896.0911219182785,609.3470241320942,86965.0,92230.68833906994,81699.31166093006,12.109902464370577,90600.0,82000.0,4400.0,248.9159189229075,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,88100.0,89600.0,-0.0145413870246085,0.0022371364653243847,-0.011061946902654829,0.001397971365854898,0.0005252418975762887,-0.08767982,89524.97864010744,89446.95662564332,81561.42557859421
2025-05-02,216000.0,217500.0,207000.0,210000.0,377264,0.0,0.0,LG화학,051910.KS,-2.777777777777779,219400.0,219650.0,233792.34635416666,39.27870039092342,-0.028170876966696335,220073.94234662715,225079.81936765317,-5005.877021026012,-5046.694991435907,40.81797040989477,219650.0,232403.121393087,206896.878606913,11.612220708478944,229500.0,203500.0,-11000.0,-33.50161120054529,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,208000.0,198700.0,-0.009523809523809525,-0.05380952380952381,-0.02777777777777779,0.006668155649151625,0.12842237098111664,-0.055428676,211400.31268632185,236968.69790603447,198359.97641086578
2025-05-02,199800.0,200500.0,197300.0,197400.0,280801,0.0,0.0,NAVER,035420.KS,-1.5461346633416473,196680.0,189205.0,205391.61067708334,54.040984601078314,-0.015582119747242681,193721.13161327576,194365.30450251236,-644.1728892365936,-2897.877034274942,2253.7041450383485,189205.0,202714.0573904798,175695.9426095202,14.279810142945278,200500.0,176900.0,13800.0,70.70680380844696,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,199100.0,185500.0,0.008611955420466059,-0.06028368794326241,-0.015461346633416473,0.003062345336616942,0.006253791680093929,-0.055428676,198004.50696944818,198634.49847765054,186458.37782621384
2025-05-02,253243.1723336595,254715.51635885518,250789.265625,250789.265625,173041,0.0,0.0,POSCO홀딩스,005490.KS,-1.9193854446787117,255402.609375,252187.98828125,267878.47369791666,41.63293843560604,-0.019380447962140158,254296.92062559424,259504.74544468982,-5207.824819095578,-6626.598683972641,1418.7738648770628,252187.98828125,262885.02816567116,241490.94839682884,8.48338571343168,267966.59375,244899.875,1472.359375,35.605459022480645,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-21 21:29:35,256678.640625,243494.28125,0.02348336155984547,-0.029088104535973398,-0.019193854446787117,0.005528702454365647,0.032150616033321186,-0.055428676,252175.80485338948,258852.29500938795,236888.3467308255
