모델,종목명,티커,보유 수량,현재가,평가 금액
GB_20D,LG에너지솔루션,373220.KS,2,445500.0,891000.0
GB_20D,삼성바이오로직스,207940.KS,7,1692000.0,11844000.0
GB_20D,현금,,,,2914712.0
GB_20D,총 자산,,,,15649712.0
