모델,종목명,티커,보유 수량,현재가,평가 금액
Dense-LSTM,삼성바이오로직스,207940.KS,3,1003000.0,3009000.0
Dense-LSTM,POSCO홀딩스,005490.KS,21,278500.0,5848500.0
Dense-LSTM,현금,,,,1480463.15
Dense-LSTM,총 자산,,,,10337963.15
