Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,종목명,Ticker,변화율(%),5일이평,20일이평,60일이평,RSI,Log_Return,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_High,Donchian_Low,Momentum_10,Cumulative_Return,한국은행 기준금리,콜금리(익일물),예금은행 수신금리,예금은행 대출금리,가계신용,"M2(광의통화, 평잔)",실업률,소비자물가지수,농산물 및 석유류제외 소비자물가지수,UpdatedAt
2019-01-16,34535.321316156515,34787.09765625,34157.65680601628,34787.09765625,8491595,0.0,0.0,삼성전자,005930.KS,0.8515449583100354,34056.95234375,34520.6423828125,36923.8283203125,78.35535190410542,0.008479397663257457,33392.715282997895,32958.94536834615,433.76991465174797,165.67539031306057,268.0945243386874,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,6.9676945562307635,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-17,34996.91681875745,35332.61865874553,34787.103168764894,35206.73046875,11736903,0.0,0.0,삼성전자,005930.KS,1.206288655198029,34417.83203125,34520.6423828125,36923.8283203125,78.35535190410542,0.011990709796251043,33671.794542344374,33125.44796837606,546.3465739683161,241.8096270441117,304.53694692420436,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,3650.744140625,8.258033720389445,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-18,35248.69237588652,35584.394208037826,35206.729646867614,35500.46875,11029256,0.0,0.0,삼성전자,005930.KS,0.8343242253373351,34719.96328125,34520.6423828125,36923.8283203125,78.35535190410542,0.008308629794549029,33953.12903582986,33301.37543368153,651.7536021483247,323.79842206495437,327.95518008337035,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,4070.375,9.161256721592492,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-21,35836.18178910819,35878.14453125,35164.77791483918,35878.14453125,11355701,0.0,0.0,삼성전자,005930.KS,1.0638613926752694,35173.1625,34520.6423828125,36923.8283203125,78.35535190410542,0.010582422058011756,34249.2852658945,33492.24721868661,757.0380472078905,410.4463470935416,346.5917001143489,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,3357.01953125,10.322581187612666,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-22,35878.13480037812,35962.06026189947,35122.80564668594,35374.58203125,9964356,0.0,0.0,삼성전자,005930.KS,-1.4035355132743677,35349.4046875,34520.6423828125,36923.8283203125,70.07277434039996,-0.01413478215498406,34422.40784517996,33631.67942702463,790.7284181553259,486.5027613058985,304.2256568494274,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,3398.978515625,8.774164581483568,1.5,1.77,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-23,34703.175944010414,35458.505045572914,34703.175944010414,35248.69140625,11071079,0.0,0.0,삼성전자,005930.KS,-0.3558787631435134,35441.7234375,34520.6423828125,36923.8283203125,68.13374752509738,-0.0035651351803316555,34549.52839303689,33751.45809215243,798.0703008844575,548.8162692216104,249.25403166284718,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2014.2109375,8.387060429951298,1.5,1.78,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-24,36129.91015625,36171.872885815916,35542.43194232724,36129.91015625,14747623,0.0,0.0,삼성전자,005930.KS,2.500004155739388,35626.359375,34520.6423828125,36923.8283203125,73.63369767324826,0.024692653134169587,34792.66404891583,33927.639726530026,865.0243223858051,612.0578798544493,252.96644253135582,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2727.578125,11.096741444983827,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-25,37178.97608240223,37556.640625,36717.38608589386,37556.640625,22789395,0.0,0.0,삼성전자,005930.KS,3.9488901649072927,36037.59375,34520.6423828125,36923.8283203125,79.73278363408976,0.03872915163466654,35217.89121446724,34196.45460789817,1021.4366065690701,693.9336251973735,327.5029813716966,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,3566.828125,15.483829741437294,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-28,37766.455240704774,38186.08252115705,37430.75341634295,37808.41796875,17998914,0.0,0.0,삼성전자,005930.KS,0.6703936762182172,36423.6484375,34520.6423828125,36923.8283203125,80.58624612893453,0.006681565307014996,35616.43379204921,34464.00744944275,1152.4263426064572,785.6321686791903,366.7941739272669,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,4196.26953125,16.258026033078508,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-29,37808.42135130495,38186.0859375,37220.94310611264,38186.0859375,16215017,0.0,0.0,삼성전자,005930.KS,0.9988991580186068,36985.94921875,34520.6423828125,36923.8283203125,81.82275326672956,0.009939431368210565,36011.76489134933,34739.71696707662,1272.0479242727088,882.9153197978941,389.1326044748147,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,3692.71484375,17.419326476251975,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
